epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,2414.61,0.61571,0.51167,0.96973,0.93514,0.81683,0.9114,0.80528,0.55107,0.57736,1.02934,0.0009209,0.0009209,0.0009209
111,2436.48,0.60673,0.50705,0.96568,0.91145,0.81531,0.90991,0.80812,0.55007,0.56801,1.03038,0.000911,0.000911,0.000911
112,2458.41,0.60416,0.50011,0.95995,0.8643,0.84653,0.90784,0.80148,0.55817,0.55921,1.03563,0.0009011,0.0009011,0.0009011
113,2480.31,0.61649,0.49606,0.96586,0.91583,0.80693,0.90783,0.80366,0.56562,0.59059,1.04722,0.0008912,0.0008912,0.0008912
114,2502.18,0.60172,0.49668,0.96959,0.91778,0.82888,0.90801,0.79449,0.57361,0.58126,1.05067,0.0008813,0.0008813,0.0008813
115,2524.12,0.59766,0.5017,0.95848,0.89087,0.84158,0.91121,0.80697,0.55472,0.56526,1.03458,0.0008714,0.0008714,0.0008714
116,2545.94,0.60786,0.50711,0.98388,0.87413,0.85149,0.91364,0.80124,0.56692,0.56882,1.05075,0.0008615,0.0008615,0.0008615
117,2567.88,0.61732,0.51421,0.97349,0.91487,0.82466,0.91849,0.80788,0.55919,0.56799,1.03289,0.0008516,0.0008516,0.0008516
118,2589.71,0.59887,0.49259,0.96734,0.91018,0.82771,0.9181,0.8165,0.56786,0.57092,1.04566,0.0008417,0.0008417,0.0008417
119,2611.7,0.59738,0.49983,0.96548,0.89038,0.83911,0.91441,0.80868,0.55337,0.56884,1.03625,0.0008318,0.0008318,0.0008318
120,2633.51,0.58306,0.46237,0.95638,0.89398,0.83416,0.91502,0.8153,0.55876,0.55938,1.04466,0.0008219,0.0008219,0.0008219
121,2655.41,0.57162,0.48055,0.96102,0.91507,0.82675,0.91645,0.81482,0.56264,0.56351,1.04879,0.000812,0.000812,0.000812
122,2677.21,0.58523,0.48332,0.96207,0.89227,0.82003,0.90914,0.80616,0.55631,0.58691,1.03588,0.0008021,0.0008021,0.0008021
123,2699.1,0.58457,0.47569,0.95543,0.87407,0.85899,0.91877,0.81547,0.54558,0.57869,1.02783,0.0007922,0.0007922,0.0007922
124,2720.99,0.5898,0.47526,0.9637,0.87006,0.86386,0.91711,0.81019,0.55786,0.56098,1.03285,0.0007823,0.0007823,0.0007823
125,2742.98,0.56643,0.45853,0.94074,0.87579,0.85519,0.91043,0.80784,0.55554,0.55626,1.03158,0.0007724,0.0007724,0.0007724
126,2764.84,0.58463,0.48514,0.96381,0.88166,0.84826,0.91195,0.81096,0.55301,0.55529,1.03106,0.0007625,0.0007625,0.0007625
127,2786.77,0.57894,0.46985,0.95234,0.8645,0.88119,0.92053,0.82598,0.53158,0.54758,1.01451,0.0007526,0.0007526,0.0007526
128,2808.77,0.57999,0.47784,0.96805,0.91395,0.81931,0.92055,0.81671,0.55657,0.54942,1.03638,0.0007427,0.0007427,0.0007427
129,2830.66,0.57209,0.4703,0.94949,0.91567,0.82921,0.91667,0.81215,0.5482,0.53237,1.03116,0.0007328,0.0007328,0.0007328
130,2852.62,0.56553,0.45495,0.94454,0.88727,0.85722,0.91897,0.8131,0.56434,0.54051,1.04231,0.0007229,0.0007229,0.0007229
131,2874.63,0.56343,0.45427,0.95241,0.90299,0.82426,0.91257,0.80974,0.55543,0.5497,1.03606,0.000713,0.000713,0.000713
132,2896.54,0.55338,0.45845,0.95504,0.88734,0.85777,0.92121,0.81653,0.55223,0.53329,1.03538,0.0007031,0.0007031,0.0007031
133,2918.45,0.5592,0.45798,0.94849,0.84102,0.88366,0.91524,0.81842,0.54987,0.57023,1.02668,0.0006932,0.0006932,0.0006932
134,2940.32,0.56655,0.45478,0.94785,0.86629,0.86881,0.91617,0.81767,0.54366,0.54556,1.02192,0.0006833,0.0006833,0.0006833
135,2962.2,0.55623,0.45768,0.94017,0.89567,0.82873,0.91257,0.81412,0.54964,0.56684,1.03172,0.0006734,0.0006734,0.0006734
136,2984.08,0.55894,0.45669,0.94747,0.87541,0.86958,0.91539,0.81422,0.55345,0.55131,1.03586,0.0006635,0.0006635,0.0006635
137,3005.92,0.54574,0.43904,0.94122,0.85932,0.87624,0.9114,0.81341,0.54739,0.54093,1.02781,0.0006536,0.0006536,0.0006536
138,3027.82,0.55917,0.43332,0.95108,0.87748,0.84653,0.91393,0.81372,0.5381,0.53639,1.02549,0.0006437,0.0006437,0.0006437
139,3049.6,0.54379,0.42956,0.93628,0.87031,0.86377,0.91381,0.81734,0.5379,0.54214,1.02861,0.0006338,0.0006338,0.0006338
140,3071.46,0.56166,0.45334,0.94104,0.90738,0.84653,0.92134,0.82449,0.5438,0.52007,1.02281,0.0006239,0.0006239,0.0006239
141,3093.34,0.54593,0.44943,0.94631,0.9047,0.84653,0.91874,0.82013,0.54785,0.55053,1.03087,0.000614,0.000614,0.000614
142,3115.16,0.54369,0.42797,0.93383,0.90738,0.82673,0.90924,0.81156,0.53877,0.57797,1.01797,0.0006041,0.0006041,0.0006041
143,3137.06,0.53891,0.43788,0.94172,0.86982,0.86634,0.90786,0.80791,0.55274,0.58306,1.02862,0.0005942,0.0005942,0.0005942
144,3158.94,0.54944,0.44491,0.94552,0.89997,0.84158,0.91462,0.81564,0.53697,0.53863,1.01967,0.0005843,0.0005843,0.0005843
145,3180.85,0.52879,0.41935,0.93208,0.87819,0.85655,0.91504,0.81063,0.55298,0.55904,1.02801,0.0005744,0.0005744,0.0005744
146,3202.76,0.54051,0.42387,0.91994,0.8812,0.85149,0.91326,0.80838,0.54972,0.56577,1.02658,0.0005645,0.0005645,0.0005645
147,3224.65,0.53514,0.42663,0.93971,0.93047,0.82426,0.92354,0.82237,0.5415,0.54088,1.02275,0.0005546,0.0005546,0.0005546
148,3246.44,0.54464,0.44085,0.9379,0.89934,0.84406,0.91707,0.81498,0.54753,0.54499,1.031,0.0005447,0.0005447,0.0005447
149,3268.28,0.5249,0.40126,0.92484,0.89485,0.84255,0.91926,0.82201,0.54017,0.5512,1.02536,0.0005348,0.0005348,0.0005348
150,3290.14,0.53317,0.42885,0.93231,0.93884,0.79791,0.90801,0.81081,0.5305,0.54258,1.02122,0.0005249,0.0005249,0.0005249
151,3312,0.5227,0.41822,0.936,0.89107,0.85396,0.91743,0.82337,0.53553,0.5197,1.02564,0.000515,0.000515,0.000515
152,3333.87,0.51085,0.40585,0.93298,0.86209,0.87871,0.91982,0.82383,0.53191,0.52398,1.02521,0.0005051,0.0005051,0.0005051
153,3355.72,0.5253,0.4217,0.93623,0.92873,0.80941,0.91225,0.80931,0.54097,0.54861,1.02861,0.0004952,0.0004952,0.0004952
154,3377.54,0.50918,0.41232,0.92683,0.91859,0.84406,0.91603,0.81512,0.54134,0.56212,1.0282,0.0004853,0.0004853,0.0004853
155,3399.48,0.52594,0.41368,0.92517,0.91529,0.82921,0.91472,0.81743,0.53488,0.53771,1.02454,0.0004754,0.0004754,0.0004754
156,3421.38,0.51766,0.41461,0.92819,0.92776,0.81683,0.92031,0.81866,0.53973,0.54275,1.02804,0.0004655,0.0004655,0.0004655
157,3443.27,0.51796,0.40739,0.92745,0.89957,0.84653,0.91927,0.82221,0.52677,0.53411,1.0178,0.0004556,0.0004556,0.0004556
158,3465.15,0.5205,0.41154,0.92915,0.8794,0.86636,0.91956,0.8245,0.53803,0.55444,1.02084,0.0004457,0.0004457,0.0004457
159,3487.03,0.5144,0.40168,0.92949,0.91284,0.83663,0.92446,0.8324,0.52334,0.53621,1.0113,0.0004358,0.0004358,0.0004358
160,3508.93,0.52118,0.40893,0.93735,0.9273,0.82087,0.92072,0.82131,0.53788,0.54323,1.03148,0.0004259,0.0004259,0.0004259
161,3530.85,0.51971,0.40488,0.92043,0.90475,0.84641,0.9198,0.82162,0.53303,0.52702,1.01991,0.000416,0.000416,0.000416
162,3552.79,0.52321,0.4,0.92429,0.90809,0.85396,0.92389,0.82903,0.5291,0.50583,1.0131,0.0004061,0.0004061,0.0004061
163,3574.6,0.49861,0.38557,0.92091,0.8992,0.86117,0.9289,0.83583,0.53098,0.51246,1.0165,0.0003962,0.0003962,0.0003962
164,3596.54,0.50232,0.39155,0.9221,0.92724,0.82426,0.92284,0.8289,0.52505,0.51868,1.01325,0.0003863,0.0003863,0.0003863
165,3618.49,0.49346,0.387,0.91986,0.86445,0.87376,0.92262,0.83197,0.52284,0.53586,1.0138,0.0003764,0.0003764,0.0003764
166,3640.31,0.5044,0.38622,0.91953,0.87972,0.85891,0.92254,0.82655,0.52752,0.53736,1.01692,0.0003665,0.0003665,0.0003665
167,3662.27,0.49843,0.39978,0.91834,0.88323,0.86881,0.92261,0.82685,0.52269,0.52248,1.01449,0.0003566,0.0003566,0.0003566
168,3684.18,0.49425,0.37981,0.91635,0.88819,0.86512,0.92183,0.82654,0.52494,0.5338,1.01831,0.0003467,0.0003467,0.0003467
169,3706.07,0.48454,0.37615,0.91244,0.89006,0.84168,0.92117,0.82715,0.52901,0.53849,1.02258,0.0003368,0.0003368,0.0003368
